Generator Name,Pass,Fail,Total,Time
sketch_safe,20000,0,20000,0.0s
prog1_syn,20000,0,20000,0.7s
prog3_safe,20000,0,20000,0.5s
prog4_syn,20000,0,20000,0.5s
sketch_syn,20000,0,20000,0.1s
prog2_cov,3886,0,20200,15.5s
prog3_syn,20000,0,20000,0.6s
prog,20000,0,20000,0.6s
sketch_cov,5312,0,20200,0.2s
prog4_cov,13438,0,20200,0.1s
prog2_safe,20000,0,20000,0.5s
prog1_cov,5078,0,20200,16.8s
prog1_safe,20000,0,20000,0.5s
default,5356,0,20200,0.3s
prog4_safe,20000,0,20000,0.0s
prog2_syn,20000,0,20000,0.5s
prog3_cov,20000,0,20000,0.5s
