Generator Name,Pass,Fail,Total,Time
sketch_safe,20000,0,20000,0.0s
prog1_syn,20000,0,20000,0.2s
prog3_safe,20000,0,20000,0.0s
prog4_syn,20000,0,20000,0.2s
sketch_syn,20000,0,20000,0.2s
prog5_cov,2080,0,20200,0.3s
prog6_safe,20000,0,20000,0.0s
prog5_safe,20000,0,20000,0.0s
prog2_cov,4806,0,20200,0.5s
prog3_syn,20000,0,20000,0.2s
prog6_syn,20000,0,20000,0.2s
prog,20000,0,20000,0.2s
sketch_cov,985,0,20200,0.3s
prog4_cov,1801,0,20200,0.5s
prog5_syn,20000,0,20000,0.2s
prog2_safe,20000,0,20000,0.2s
prog1_cov,17299,0,20200,0.3s
prog6_cov,10066,0,20200,0.1s
prog1_safe,20000,0,20000,0.2s
default,962,0,20200,0.3s
prog4_safe,20000,0,20000,0.3s
prog2_syn,20000,0,20000,0.2s
prog3_cov,11046,0,20200,0.1s
