Generator Name,Pass,Fail,Total,Time
prog1_syn,20000,0,20000,0.3s
prog3_safe,20000,0,20000,0.2s
prog4_syn,20000,0,20000,0.3s
prog5_cov,5727,0,20200,1.0s
prog6_safe,20000,0,20000,0.9s
prog5_safe,20000,0,20000,0.0s
prog2_cov,3072,0,20200,53.2s
prog3_syn,20000,0,20000,0.3s
prog6_syn,20000,0,20000,0.2s
prog,20000,0,20000,0.2s
prog4_cov,3828,0,20200,1.1s
prog5_syn,20000,0,20000,0.2s
prog2_safe,20000,0,20000,0.2s
prog1_cov,18851,0,20200,0.3s
prog6_cov,5535,0,20200,5.1s
prog1_safe,20000,0,20000,0.2s
default,425,0,20200,0.6s
prog4_safe,20000,0,20000,0.2s
prog2_syn,20000,0,20000,0.3s
prog3_cov,3077,0,20200,50.5s
