Generator Name,Pass,Fail,Total,Time
sketch_safe,20000,0,20000,0.5s
prog1_syn,20000,0,20000,0.3s
prog3_safe,20000,0,20000,0.2s
prog4_syn,20000,0,20000,0.3s
sketch_syn,20000,0,20000,0.3s
prog5_cov,5902,0,20200,1.3s
prog6_safe,20000,0,20000,0.9s
prog5_safe,20000,0,20000,0.0s
prog2_cov,3112,0,20200,57.5s
prog3_syn,20000,0,20000,0.3s
prog6_syn,20000,0,20000,0.3s
prog,20000,0,20000,0.2s
sketch_cov,442,0,20200,0.6s
prog4_cov,3828,0,20200,1.2s
prog5_syn,20000,0,20000,0.3s
prog2_safe,20000,0,20000,0.2s
prog1_cov,18907,0,20200,0.3s
prog6_cov,5552,0,20200,5.5s
prog1_safe,20000,0,20000,0.2s
default,425,0,20200,0.6s
prog4_safe,20000,0,20000,0.2s
prog2_syn,20000,0,20000,0.3s
prog3_cov,3055,0,20200,58.0s
