Generator Name,Pass,Fail,Total,Time
prog1_syn,20000,0,20000,0.2s
prog3_safe,20000,0,20000,0.0s
prog4_syn,20000,0,20000,0.2s
prog5_cov,11414,0,20200,0.3s
prog6_safe,20000,0,20000,0.0s
prog8_cov,11431,0,20200,0.2s
prog9_syn,20000,0,20000,0.2s
default_gen,10399,0,20200,0.3s
prog5_safe,20000,0,20000,0.0s
prog2_cov,11375,0,20200,0.5s
prog3_syn,20000,0,20000,0.2s
prog6_syn,20000,0,20000,0.2s
prog7_cov,10354,0,20200,0.3s
prog9_safe,20000,0,20000,0.0s
prog,20000,0,20000,0.2s
prog4_cov,8089,0,20200,0.5s
prog5_syn,20000,0,20000,0.2s
prog7_safe,20000,0,20000,0.0s
prog8_syn,20000,0,20000,0.2s
prog9_cov,10423,0,20200,0.3s
prog2_safe,20000,0,20000,0.2s
prog1_cov,17155,0,20200,0.3s
prog8_safe,20000,0,20000,0.0s
prog6_cov,14856,0,20200,0.1s
prog7_syn,20000,0,20000,0.2s
prog1_safe,20000,0,20000,0.2s
prog4_safe,20000,0,20000,0.2s
prog2_syn,20000,0,20000,0.2s
prog3_cov,13039,0,20200,0.2s
